"","Model","Accuracy","Precision","Recall","F1_Score"
"1","Lefty_Pitch_Location",0.565141753181592,0.560820807380055,0.439992781966621,0.493113022945658
"2","Lefty_Pitch_Type",0.607157319054266,0.623489897077991,0.93617792358899,0.748489478965556
"3","Righty_Pitch_Location",0.559487098914963,0.426812585499316,0.00999951925388202,0.0195412197604322
"4","Righty_Pitch_Type",0.558066895423789,0.565534669151504,0.772031530216457,0.652843345206846
"5","Lefty_Vertical_Break",0.603172582619339,0.625719059378733,0.897861221227958,0.737485101311085
"6","Righty_Vertical_Break",0.537116377513389,0.384323832625834,0.0177502363197143,0.033933244540228
